#
# Copyright (C) 2004-2009 the TortoiseSVN team
# This file is distributed under the same license as TortoiseSVN
#
# Last commit by:
# $Author$
# $Date$
# $Rev$
#
# ======================================================================
#
# List of languages supported by TortoiseSVN
#
# This list is basically CSV Format with the following rules:
# - Entries are separated by a Semicolon ';'.
# - Strings which contain spaces should be enclosed in double quotes '"'
#   for better readability.
# - Unused languages are commented out by a hash mark '#'
#
# This list is used for:
# - the Language pack builds
# - the Translation status report
#
# Handle with care. You might break something!
#
# ======================================================================
#
# Meaning of the columns:
# 1: Country code. Used to display the flag. The [flagname].png has to match this column
# 2: WiX Language code. If the language is not supported, put "en-us" there.
#    See here about which languages are supported by WiX:
#    http://wixtoolset.org/documentation/manual/v3/wixui/wixui_localization.html
# 3: Locale ID for the language pack installer
# 4: 1 = Spellchecker available / 0 = no spellchecker
# 5: Full language name.
# 6: List of translators.
#
#CC;      WiX;   LCID; SC; Language Name;          "List of translators"
# -----------------------------------------------------------------------
sq;       en-us;      1052; 0;  Albanian;               "Skender Mustafi"
ar;       ar-sa;      3073; 0;  Arabic (Egypt);         "Muhammad Assar"
#bs_BA;   en-us;      5146; 0;  Bosnian/Herzegovinan;   "Boris Musa"
be@tarask;en-us;      1059; 0;  Belarussian (Tarask);   "Volat, P. Selitskas"
bg;       bg-bg;      1026; 1;  Bulgarian;              "Milen A. Radev, Martin Tapankov"
ca;       ca-es;      1027; 1;  Catalan;                "Arnau Perelló"
zh_CN;    zh-cn;      2052; 0;  Chinese, simplified;    "Dongsheng Song, Cecil Sheng, Ken Chew, Cobra Net, Xingyu Wang, Lixinfeng"
zh_TW;    zh-tw;      1028; 0;  Chinese, traditional;   "Cecil Sheng"
hr;       hr-hr;      1050; 1;  Croatian;               "Helix d.o.o: (Dinko Srkoc, Mario Saric), Boris Musa, Dusko Vuksanovic, Ivan Vucica"
cs;       cs-cz;      1029; 1;  Czech;                  "Radek Svarz, Vojtech Vondra, Jiří Sedlák, Zbyněk Schwarz"
da;       da-dk;      1030; 1;  Danish;                 "Jan Normann Nielsen, Gunther Strube, Christian Funder Sommerlund, David Trasbo, Mikkel Elmholdt"
nl;       nl-nl;      1043; 1;  Dutch;                  "Jean-Marc van Leerdam, Yves Reynhout, Bob Hulst, Dennis Siemensma, Mariska Hoogenboom, Jeroen van Amstel"
eo;       en-us;      1167; 0;  Esperanto;              "Tim Morley, Aleksandr"
fi;       fi-fi;      1035; 0;  Finnish;                "Pekka Järvinen, Kari Granö"
fr;       fr-fr;      1036; 1;  French;                 "Olivier Booklage, Philippe Torche, Jean-Christophe Gigogne, Jérémy Badier, Jean-Christophe Mazenc, Christophe Sauveur, Frédéric Bodin, Matthias Goupil, Dany McCarthy, Yves Mittelmann, Vincent Houde"
ka;       en-us;      1079; 0;  Georgian;               "Gia Shervashidze"
de;       de-de;      1031; 1;  German;                 "Stefan Küng, Lübbe Onken"
el;       el-gr;      1032; 0;  Greek;                  "George Marselis, Joseph Megkousoglou, John Stratoudakis, Stavros Labrou, Vasilios Will"
he;       he-il;      1037; 0;  Hebrew;                 ""
hu;       hu-hu;      1038; 1;  Hungarian;              "Szente-Varga Bálint, Gábor Halász, István Dovák"
id;       en-us;      1057; 1;  Indonesian;             "Zaenal Mutaqin, Thomas Edwin Santosa, Evan Allrich"
it;       it-it;      1040; 1;  Italian;                "Luca Berti, Cecilia Saltori"
ja;       ja-jp;      1041; 0;  Japanese;               "Daisuke Deguchi (GUI), Kurasawa Nozomu (docs)"
km;       en-us;      1107; 0;  Khmer;                  ""
ko;       ko-kr;      1042; 0;  Korean;                 "Hojin Choi, Jae-Hong Lee, Kim Taedong"
lv;       lv-lv;      1062; 0;  Latvian;                "Andris Volohs, Mārtiņš Paukšte"
lt;       lt-lt;      1063; 0;  Lithuanian;             "Evaldas Granickas"
mk;       en-us;      1071; 0;  Macedonian;             "Srdjan Stokic"
ml;       en-us;      1100; 0;  Malayalam;              "Sadik Khalid"
nb;       nb-no;      1044; 1;  Norwegian, bokmål;      "Jostein Andersen, Oddvar Kloster"
oc;       en-us;      0130; 0;  Occitan;                ""
fa;       en-us;      1065; 0;  Persian;                "Titto Agustine, Mohsen Sajjadi"
pl;       pl-pl;      1045; 1;  Polish;                 "Michal Mielniczuk, Andrzej Rusin, Piotr Kontek, Krzysztof Kotowicz, Michal Krawiecki, Begina Felicysym"
pt;       pt-pt;      2070; 0;  Portuguese, Portugal;   "Manuel Menezes de Sequeira, Luis X. B. Mourão, Paulo Justino"
pt_BR;    pt-br;      1046; 1;  Portuguese, Brazil;     "CRAb Group, Humberto Osório, Emanuele Santos, Guilherme Cantisano, Juliano Ravasi Ferraz, Victor Westmann, Conrado Quilles Gomes, Tiago Deliberali Santos, Leandro Herrera, Alex Vieira, Rafael Heise"
ro;       ro-ro;      1048; 0;  Romanian;               "Seby Rusu, Ben Felt, Florin Daneliuc"
ru;       ru-ru;      1049; 1;  Russian;                "Dzmitry Lazerka, Dimitry Mardiyan, Shura Zam, Alexander Leschinsky, Stanislav Petrakov, Boris & Polina Rozenshtein, Peter Denim, Siarhei Niakhai, Nikolay Osinin"
sr;       en-us;      3098; 0;  Serbian cyrillic;       "Milorad Popović"
sr@latin; sr-latn-cs; 2074; 0;  Serbian latin;          "Milorad Popović"
sk;       sk-sk;      1051; 1;  Slovak;                 "Oto Brezina, Michal Nosál"
sl;       sl-sl;      1060; 1;  Slovenian;              "Goran Kavrecic, Martin Srebotnjak, Matjaz Cepon, Miha Nahtigal, Vito Smolej"
es;       es-es;      1034; 1;  Spanish;                "Fernando P. Nájera Cano, Antonio Romero Lopez, Franco Catena, Marco Klipfel, Tomas Christie, Augusto Wloch, JC Fuentes, Alejandro Ariel Abaca, Jeff B Martinez, Imanol"
sv;       sv-se;      1053; 1;  Swedish;                "Johan Stenqvist, Johan Appelgren, Johan Foglemark"
ta_IN;    en-us;      1097; 0;  Tamil, India;           ""
th;       th-th;      1054; 0;  Thai;                   "Varanuch Pojjananuntakul"
tr;       tr-tr;      1055; 0;  Turkish;                "Aydogan Yolacan, Ali Karaoglu, Berke Baydu, Vural Goze"
uk;       uk-ua;      1058; 0;  Ukrainian;              "Vadim Mikhnevych"
vi;       en-us;      1066; 0;  Vietnamese;             "Khoa Dang"
